,predictions,attention_mean
2022-01-12,0.5361922,0.14285715
2022-01-13,0.5350473,0.14285713
2022-01-14,0.5470235,0.14285715
2022-01-18,0.5408433,0.14285713
2022-01-19,0.54119986,0.14285715
2022-01-20,0.5485495,0.14285715
2022-01-21,0.55354977,0.14285715
2022-01-24,0.5703309,0.14285715
2022-01-25,0.58674335,0.14285715
2022-01-26,0.58693236,0.14285715
2022-01-27,0.5915665,0.14285715
2022-01-28,0.58306587,0.14285713
2022-01-31,0.56488687,0.14285715
2022-02-01,0.5490271,0.14285715
2022-02-02,0.52894366,0.14285715
2022-02-03,0.5222394,0.14285715
2022-02-04,0.5081546,0.14285715
2022-02-07,0.49801397,0.14285715
2022-02-08,0.49524146,0.14285715
2022-02-09,0.50340647,0.14285715
2022-02-10,0.5161243,0.14285715
2022-02-11,0.52478147,0.14285715
2022-02-14,0.5387777,0.14285715
2022-02-15,0.54111433,0.14285715
2022-02-16,0.5309836,0.14285715
2022-02-17,0.5295371,0.14285715
2022-02-18,0.5280934,0.14285715
2022-02-22,0.53972465,0.14285716
2022-02-23,0.56012875,0.14285715
2022-02-24,0.5585542,0.14285715
2022-02-25,0.55699515,0.14285713
2022-02-28,0.55403787,0.14285715
2022-03-01,0.5499869,0.14285716
2022-03-02,0.5433989,0.14285715
2022-03-03,0.5375233,0.14285713
2022-03-04,0.5264978,0.14285715
2022-03-07,0.502807,0.14285715
2022-03-08,0.50606406,0.14285715
2022-03-09,0.51615757,0.14285715
2022-03-10,0.5211474,0.14285715
2022-03-11,0.52164227,0.14285715
2022-03-14,0.53181356,0.14285715
2022-03-15,0.5227481,0.14285715
2022-03-16,0.50505185,0.14285715
2022-03-17,0.50229114,0.14285715
2022-03-18,0.49956942,0.14285715
2022-03-21,0.4822635,0.14285715
2022-03-22,0.47388414,0.14285715
2022-03-23,0.4581068,0.14285715
2022-03-24,0.46183416,0.14285716
2022-03-25,0.45795894,0.14285713
2022-03-28,0.45902854,0.14285715
2022-03-29,0.4632503,0.14285713
2022-03-30,0.48312557,0.14285715
2022-03-31,0.48745504,0.14285715
2022-04-01,0.4825061,0.14285713
2022-04-04,0.4750612,0.14285715
2022-04-05,0.45919856,0.14285715
2022-04-06,0.46378642,0.14285715
2022-04-07,0.4718678,0.14285715
2022-04-08,0.4774544,0.14285715
2022-04-11,0.49212953,0.14285715
2022-04-12,0.4931019,0.14285715
2022-04-13,0.50100636,0.14285713
2022-04-14,0.5152154,0.14285715
2022-04-18,0.51876247,0.14285715
2022-04-19,0.52489156,0.14285715
2022-04-20,0.53766906,0.14285715
2022-04-21,0.5380319,0.14285713
2022-04-22,0.5291309,0.14285715
2022-04-25,0.5347759,0.14285715
2022-04-26,0.54553777,0.14285716
2022-04-27,0.5477012,0.14285715
2022-04-28,0.5529194,0.14285715
2022-04-29,0.56580544,0.14285715
2022-05-02,0.5708155,0.14285715
2022-05-03,0.5645043,0.14285715
2022-05-04,0.55342245,0.14285715
2022-05-05,0.55108637,0.14285715
2022-05-06,0.53062856,0.14285715
2022-05-09,0.5179152,0.14285715
2022-05-10,0.528413,0.14285715
2022-05-11,0.5251904,0.14285715
2022-05-12,0.526559,0.14285716
2022-05-13,0.53730947,0.14285715
2022-05-16,0.543417,0.14285715
2022-05-17,0.53450334,0.14285715
2022-05-18,0.54042697,0.14285713
2022-05-19,0.5258914,0.14285715
2022-05-20,0.5148314,0.14285715
2022-05-23,0.5032963,0.14285715
2022-05-24,0.5125977,0.14285715
2022-05-25,0.5222721,0.14285715
2022-05-26,0.5333795,0.14285713
2022-05-27,0.53470194,0.14285713
2022-05-31,0.5333689,0.14285715
2022-06-01,0.514798,0.14285712
2022-06-02,0.5058155,0.14285715
2022-06-03,0.49515387,0.14285715
2022-06-06,0.48698002,0.14285715
2022-06-07,0.4984834,0.14285715
2022-06-08,0.5055517,0.14285712
2022-06-09,0.51578,0.14285715
2022-06-10,0.5371308,0.14285713
2022-06-13,0.549138,0.14285715
2022-06-14,0.56803095,0.14285715
2022-06-15,0.57387906,0.14285715
2022-06-16,0.5701811,0.14285715
2022-06-17,0.5830772,0.14285715
2022-06-21,0.5811601,0.14285715
2022-06-22,0.55398065,0.14285715
2022-06-23,0.5391792,0.14285715
2022-06-24,0.5160227,0.14285713
2022-06-27,0.4926661,0.14285715
2022-06-28,0.48805588,0.14285715
2022-06-29,0.4781072,0.14285712
2022-06-30,0.4927137,0.14285716
2022-07-01,0.50756687,0.14285716
2022-07-05,0.5148284,0.14285715
2022-07-06,0.5140268,0.14285716
2022-07-07,0.54921603,0.14285716
