date,LSTM,GRU,CNN-LSTM,ATT-LSTM,Transformer
2018-12-28,,,,,
2018-12-31,,,,,
2019-01-01,,,,,
2019-01-02,,,,,
2019-01-03,,,,,
2019-01-04,,,,,
2019-01-07,,,,,
2019-01-08,,,,,
2019-01-09,,,,,
2019-01-10,,,,,
2019-01-11,,,,,
2019-01-14,,,,,
2019-01-15,,,,,
2019-01-16,,,,,
2019-01-17,,,,,
2019-01-18,,,,,
2019-01-21,,,,,
2019-01-22,,,,,
2019-01-23,,,,,
2019-01-24,,,,,
2019-01-25,,,,,
2019-01-28,,,,,
2019-01-29,,,,,
2019-01-30,,,,,
2019-01-31,,,,,
2019-02-01,,,,,
2019-02-04,,,,,
2019-02-05,,,,,
2019-02-06,,,,,
2019-02-07,,,,,
2019-02-08,,,,,
2019-02-11,,,,,
2019-02-12,,,,,
2019-02-13,,,,,
2019-02-14,,,,,
2019-02-15,,,,,
2019-02-18,,,,,
2019-02-19,,,,,
2019-02-20,,,,,
2019-02-21,,,,,
2019-02-22,,,,,
2019-02-25,,,,,
2019-02-26,,,,,
2019-02-27,,,,,
2019-02-28,,,,,
2019-03-01,,,,,
2019-03-04,,,,,
2019-03-05,,,,,
2019-03-06,,,,,
2019-03-07,,,,,
2019-03-08,,,,,
2019-03-11,,,,,
2019-03-12,,,,,
2019-03-13,,,,,
2019-03-14,,,,,
2019-03-15,,,,,
2019-03-18,,,,,
2019-03-19,,,,,
2019-03-20,,,,,
2019-03-21,,,,,
2019-03-22,,,,,
2019-03-25,,,,,
2019-03-26,0.17936129047863317,0.1804238713900305,-0.16510670769087785,0.2878328354235204,0.25373972659926924
2019-03-27,0.17936129047863317,0.21020768078939794,-0.16510670769087785,0.2845882498910836,0.27695801926276264
2019-03-28,0.17936129047863317,0.18942076703435598,-0.16510670769087785,0.2814081769484517,0.27963649005136826
2019-03-29,0.17936129047863317,0.1946320083899427,-0.16510670769087785,0.2814081769484517,0.28427243647590733
2019-04-01,0.17936129047863317,0.2004449307783253,-0.16510670769087785,0.2814081769484517,0.2894572713843411
2019-04-02,0.17936129047863317,0.21276666184230392,-0.16510670769087785,0.28140817694845166,0.30037367781001534
2019-04-03,0.17936129047863317,0.21575094127771977,-0.16510670769087785,0.26625778826730173,0.3057372773801981
2019-04-04,0.17936129047863317,0.1963720828611295,-0.16510670769087785,0.22082426772169408,0.2677638363098313
2019-04-05,0.17936129047863317,0.20569644299641887,-0.16510670769087785,0.21919418818688716,0.2664030505016771
2019-04-08,0.17936129047863317,0.20580530102695152,-0.16510670769087785,0.2065492149292305,0.25589911300101403
2019-04-09,0.18290367637901586,0.2224155115296979,-0.16510670769087785,0.22242827119717226,0.2710901346759855
2019-04-10,0.20344390147287736,0.21762874135165944,-0.16510670769087785,0.2407601713030965,0.28453695484473945
2019-04-11,0.1732995577518846,0.21762874135165944,-0.16510670769087785,0.21437061761752862,0.26383972847429527
2019-04-12,0.16553544342652882,0.21762874135165944,-0.16510670769087785,0.2075694526131037,0.2520831334501376
2019-04-15,0.1414060548823642,0.21473500065964005,-0.16510670769087785,0.18674562966494512,0.23909626377631685
2019-04-16,0.10095944828349154,0.21476488493229512,-0.16510670769087785,0.15330378061976324,0.2150895634080635
2019-04-17,0.1759263720001622,0.2176586867484788,-0.16510670769087785,0.21733098342292848,0.2850630172569365
2019-04-18,0.16652668381740687,0.2143215274845538,-0.16510670769087785,0.2095816397692952,0.27258912415038095
2019-04-19,0.160537948059495,0.2172160409699437,-0.16510670769087785,0.20465108455100184,0.2677756027988394
2019-04-22,0.12859617082521008,0.19874235435205656,-0.16510670769087785,0.17883511119444662,0.2600230424569278
2019-04-23,0.17270437006707592,0.20164392966624506,-0.1259881576697424,0.21436220428465014,0.2896146350536848
2019-04-24,0.1801786617045306,0.20592130244118212,,0.2203065746419493,0.2967806225309104
2019-04-25,0.1296262239322396,0.17227557353721476,,0.18064923877964853,0.24090591748921153
2019-04-26,0.08625041089009193,0.14984135002772242,,0.15019967101815973,0.2133795340216957
2019-04-29,0.08059205553389161,0.15015099022902603,,0.1462863609352632,0.2337595413425099
2019-04-30,0.0400073749658541,0.15015099022902603,,0.11526051415742028,0.20260761625661686
2019-05-01,0.00859876003467996,0.153203306332003,,0.01770671584802676,0.13429028291837727
2019-05-02,0.031593308989054644,0.1601509609307767,,0.01623889815252426,0.13598836148215168
2019-05-03,0.024470928811455423,0.19801611810648478,,0.05474346996991156,0.15546961691167477
2019-05-06,0.049697530985630976,0.19801611810648478,,0.05203305825146071,0.163192737814633
2019-05-07,-0.07116310451863317,0.20126222642470135,,0.049191483886425476,0.08583841388643763
2019-05-08,-0.03294133360319022,0.17121807933102964,,-0.002475699434859779,0.07589380351223057
2019-05-09,-0.021502606519292134,0.17121807933102964,,-0.01585739855884142,0.08219058872159188
2019-05-10,0.022971402254438007,0.1745492214310532,,-0.004120550820760609,0.10818156390402363
2019-05-13,-0.04207519253837764,0.14488906697286388,,-0.05668125804526266,0.0701252991271532
2019-05-14,-0.07335833850029318,0.13996802687623558,,-0.06884494177257369,0.047768925728258645
2019-05-15,-0.04585539896479987,0.13416015439392306,,-0.0347445947199808,0.043652509420058196
2019-05-16,-0.04329416262343528,0.1466742438599263,,-0.0315998004330107,0.05200985387119545
2019-05-17,-0.10385964857310256,0.12696056685091503,,-0.10955728871093653,0.03498013305011077
2019-05-20,-0.09528877821686468,0.1228371621903854,,-0.11352215687558599,0.03526398564746374
2019-05-21,-0.11959711064364159,0.12908428835350924,,-0.11008278063453311,0.01480499215076727
2019-05-22,-0.13979065891755985,0.12908428835350924,,-0.10770792806635063,0.01606410778966412
2019-05-23,-0.12269708231616001,0.13254578351062896,,-0.09575000314000268,0.022639384379973745
2019-05-24,-0.18522326181209228,0.11104396937370359,,-0.1299776715793749,0.006783058503384984
2019-05-27,-0.1818595934275785,0.1252066576775598,,-0.11331529768296075,0.015900378886331175
2019-05-28,-0.09290017649896636,0.12922258756785132,,-0.10383004418599442,0.018554894328301184
2019-05-29,-0.04758833948339284,0.15475963926398453,,-0.09929958361752107,0.034147951087285494
2019-05-30,-0.02979127437350705,0.18935593605536075,,-0.06486225650569116,0.05409176232545171
2019-05-31,-0.00023866896191035035,0.1977621986547002,,-0.05028478409728433,0.05685009902493181
2019-06-03,0.009761009030024142,0.15812481089581032,,-0.04552739022036613,0.03432385062703284
2019-06-04,0.009761009030024142,0.14680604321669183,,-0.0600750463651148,0.02618930781453532
2019-06-05,0.009761009030024142,0.1217961753054294,,-0.10225051158238212,0.00398185778274718
2019-06-06,0.009761009030024142,0.12124221659837585,,-0.07623788127233438,0.016333141429063912
2019-06-07,0.009761009030024142,0.09534277202229612,,-0.11106759656139331,-9.066876985521946e-05
2019-06-10,0.009761009030024142,0.08450167203171201,,-0.1207268802506621,-0.0070413150534699405
2019-06-11,0.009761009030024142,0.11945157889006092,,-0.06638663346757127,0.017250649265533297
2019-06-12,0.009761009030024142,0.13955567007299408,,-0.05198745943185621,0.031879590459160216
2019-06-13,0.0070183882729318295,0.10242567568688575,,-0.007469724774912066,0.028661280734745328
2019-06-14,0.0035610707447854806,0.2592241778737106,,-0.01300443225238831,0.0791403001502467
2019-06-17,-0.0011905065760491492,0.26573221452221624,,-0.024909622996349384,0.0766830891483291
2019-06-18,-0.026762814875719014,0.23491140808978334,,-0.024909622996349384,0.03148653313675065
2019-06-19,-0.032722764692649814,0.27255832765145876,,-0.029269815480562726,0.0407634039795513
2019-06-20,-0.032722764692649814,0.2525364136427579,,-0.012453307322788817,0.03874753244353361
2019-06-21,-0.032722764692649814,0.21333381878695157,,0.012203903243684375,0.01833597893295109
2019-06-24,-0.032722764692649814,0.20988717721101918,,0.047460046180319494,0.008072950793504266
2019-06-25,-0.032722764692649814,0.22932384050235297,,0.06336202957836194,0.016012297806992853
2019-06-26,-0.032722764692649814,0.2498285797974525,,0.09213344311318115,0.02804421495949509
2019-06-27,-0.032722764692649814,0.22201177304044412,,0.08471566248020028,0.02241546041049365
2019-06-28,-0.032722764692649814,0.1547761529067461,,0.06424373285342748,0.009905902466273098
2019-07-01,-0.032722764692649814,0.15598273340379254,,0.06016197750532094,0.007051640842744625
2019-07-02,-0.032722764692649814,0.23653368682955764,,0.08571996108222402,0.02387586968181522
2019-07-03,-0.032722764692649814,0.23023093766991282,,0.0722106679588958,0.014354649391195467
2019-07-04,-0.032722764692649814,0.2560108203243944,,0.07205679455203587,0.014249371000560814
2019-07-05,-0.032722764692649814,0.22462798007958856,,0.05038562256021466,-0.003983138343882307
2019-07-08,-0.032722764692649814,0.20784464071089392,,0.05038562256021466,-0.0022263923243212753
2019-07-09,-0.032722764692649814,0.14930132104570715,,0.05038562256021466,-0.0036479413296610906
2019-07-10,-0.032722764692649814,0.1707318381225697,,0.05038562256021466,0.0027095206227732435
2019-07-11,-0.032722764692649814,0.12935412842748828,,0.05038562256021466,-0.0017012925956799076
2019-07-12,-0.032722764692649814,0.14580889418730067,,0.05038562256021466,-0.0045313044186568886
2019-07-15,-0.032722764692649814,0.1792929217411897,,0.05038562256021466,-0.029750065559723263
2019-07-16,-0.032722764692649814,0.20307020553244406,,0.05038562256021466,-0.023512419689210563
2019-07-17,-0.032722764692649814,0.166671471392105,,0.05038562256021466,-0.022458073037835428
2019-07-18,-0.032722764692649814,0.19881926951000664,,0.05038562256021466,-0.03890273420367401
2019-07-19,-0.032722764692649814,0.1893882405001549,,0.05038562256021466,-0.04662870066237766
2019-07-22,-0.032722764692649814,0.17413531625574188,,0.05038562256021466,-0.05672860689135834
2019-07-23,-0.032722764692649814,0.10481744364461852,,0.05038562256021466,-0.065492842103689
2019-07-24,-0.032722764692649814,0.05311191525296799,,0.04627875684319814,-0.08352475759167688
2019-07-25,-0.032722764692649814,0.05311191525296799,,0.016035466904473942,-0.13240400744404476
2019-07-26,-0.032722764692649814,0.05311191525296799,,-0.07221534704776486,-0.1714314014137999
2019-07-29,-0.032722764692649814,0.05311191525296799,,0.0129681244655309,-0.10564634703171197
2019-07-30,-0.03539529009829012,0.05311191525296799,,0.022946769821962094,-0.10180968060694642
2019-07-31,0.015874694459970577,0.05311191525296799,,0.07142585005208414,-0.09466089292934801
2019-08-01,-0.00982883700397253,0.05311191525296799,,0.05000397672370585,-0.10390980645124086
2019-08-02,0.02193434171520924,0.05311191525296799,,0.05000397672370585,-0.05092434449285023
2019-08-05,0.03961091363216153,0.05311191525296799,,0.05000397672370585,-0.07374319943412001
2019-08-06,-0.045813564961153894,0.05311191525296799,,0.05000397672370585,-0.09063171642770752
2019-08-07,-0.060892403736428825,0.05311191525296799,,0.05000397672370585,-0.11785054289128574
2019-08-08,-0.014704951666474233,0.05311191525296799,,0.05000397672370585,-0.10193332554207049
2019-08-09,0.026323017951757826,0.05311191525296799,,0.05269046860750853,-0.0808331738552238
